Location,BHK,sq_ft,bath,balcony,Price
Ardendale,2,1224,2,2,70
Bellandur,2,1205,2,1,59
Richmond Town,2,1233,2,3,100
5th Block Hbr Layout,2,1312,2,3,69
Electronic City,3,1449,3,2,90
Yelenahalli,2,1090,2,1,54
Kaggadasapura,5,2100,5,0,150
Uttarahalli,3,1390,2,3,62.55
JP Nagar,2,1200,2,3,78
Mallasandra,4,600,2,2,50
BTM 2nd Stage,2,1000,2,2,58
Devanahalli,4,2400,5,2,190
Thanisandra,3,1732,3,1,85.73
Banashankari,2,1290,2,2,80
Marasandra,3,1840,3,3,85
Thanisandra,3,1917,4,2,100
Bhuvaneshwari Nagar,2,1100,2,2,57
Kudlu,3,1455,2,3,60
Old Airport Road,4,2774,4,3,208
Haralur Road,5,1200,5,3,255
 Devarachikkanahalli,3,1425,2,2,65
Whitefield,3,1655,3,1,113
Haralur Road,4,2805,5,3,160
R.T. Nagar,7,600,7,3,93
AGS Layout,2,1040,2,1,46.79
Akshaya Nagar,2,1126,2,1,55
Kodichikkanahalli,6,1600,4,1,200
Hebbal,2,1250,2,1,55.55
Yelahanka,4,1800,4,2,180
Kalkere Channasandra,2,1200,2,0,53
Ashirvad Colony,4,2050,3,1,100
Whitefield,1,530,1,1,29.44
Sarjapur,4,2580,4,0,139.5
Kambipura,2,883,2,1,37
Uttarahalli,3,1490,2,2,59.6
Ramagondanahalli,2,1295,2,2,95
Sompura,3,1275,3,1,59
Doddabanahalli,2,800,2,2,30
Devanahalli,1,1200,1,0,95
Bellandur,2,1063,2,1,58
Balagere,1,656,1,1,43
Shakthi Nagar,2,1125,2,2,36
Marathahalli,2,881,2,1,48.06
Nayandanahalli,9,1350,8,2,200
Bisuvanahalli,2,700,1,1,32
AGS Layout,3,1936,3,0,110
Hosa Road,3,1680,3,1,101
Rayasandra,2,1253,2,2,57
Rajaji Nagar,3,1640,3,3,230
Mysore Road,3,1082,3,2,50
Electronic City,2,1065,2,1,30.75
Iblur Village,3,2100,4,2,145
Electronic City,2,1070,2,1,58
Raja Rajeshwari Nagar,3,1280,3,2,57.6
6th block Koramangala,5,1200,5,2,300
Electronic City Phase II,2,1125,2,1,29.25
Sarjapur  Road,3,1755,3,2,122
Electronic City,2,1210,2,1,54
Talaghattapura,2,951,2,2,30.43
Electronic City,3,1500,2,1,75
Coffee Board Layout,3,1652.5,3,2,90
Yeshwanthpur,3,1381,2,2,76.18
Whitefield,2,1085,2,1,57
Whitefield,1,905,1,1,50
Hennur Road,3,1685,3,2,95
Somasundara Palya,2,1200,2,2,75
Anandapura,2,1151,2,1,42.9
Brookefield,4,3532,3,3,170
Kanakpura Road,3,1665,3,2,86.91
Kengeri Satellite Town,2,800,2,1,40
Chamrajpet,2,1050,2,1,162
Rajiv Nagar,2,1030,2,2,46.5
Hoodi,2,1257,2,1,71.03
Whitefield,3,1600,3,2,82
Choodasandra,3,1465,3,3,75
Jakkur,3,1650,3,2,111
Haralur Road,2,1243,2,2,46
Yelahanka New Town,2,680,1,1,80
Whitefield,4,1230,4,2,80
Koramangala,2,1300,2,2,82
KR Puram,2,1000,2,1,44.5
Mahadevpura,2,1146,2,1,53.8
Hennagara,6,1200,6,3,120
Indira Nagar,3,2601,4,2,312
Vishwanatha Nagenahalli,3,2159,3,2,110
Whitefield,2,1255,2,2,40
Hebbal Kempapura,2,1130,2,2,60
Padmanabhanagar,2,1200,2,1,60
Sarjapur  Road,2,1040,2,1,37
TC Palaya,8,1500,8,2,150
Byrathi Village,4,906,3,2,55
Uttarahalli,2,1180,2,1,41.3
Ullal Uppanagar,7,1200,7,2,169
Govindpura,6,850,7,2,100
KR Puram,2,1200,2,3,47
Sarjapur  Road,3,1374,3,2,51
Vidyaranyapura,9,4700,10,3,130
Whitefield,1,613,1,0,32.15
 south,3,2400,2,0,480
Haralur Road,2,1027,2,2,44
Ittamadu,5,1200,4,3,130
Jalahalli,3,2384,4,2,165
Electronic City,3,1033,2,2,28.41
Yelahanka,2,1200,2,1,54
Haralur Road,3,2017,3,2,105
Rainbow Drive,3,1500,3,2,138
Kamala Nagar,2,700,2,0,43
Shampura,6,1150,6,2,75
Kanakpura Road,3,1495,2,2,52.33
Kothanur,2,1302,2,1,68.5
Whitefield,1,905,1,1,52
Raja Rajeshwari Nagar,2,1303,2,1,55.79
Electronics City Phase 1,3,1350,3,0,71
Gottigere,3,1380,2,2,95
Harlur,3,1620,3,1,110
Chandapura,4,4800,4,3,250
Sarjapur  Road,2,1000,2,1,38.5
Ramamurthy Nagar,3,800,4,0,88
Thanisandra,2,1250,1,1,54
3rd Block Koramangala,3,1750,3,3,170
Anekal,3,997,3,2,55
Kothanur,3,1760,3,2,111
Yelahanka,2,1322,2,2,75
Kanaka Nagar,3,1365,3,0,99
Sahakara Nagar,3,1500,3,2,125
Kaggadasapura,3,1256,2,2,50
Brookefield,2,941,2,2,48
Devanahalli,4,5000,4,3,465
Kanakpura Road,3,1665,3,2,86.58
Hennur Road,2,1414,2,3,84.18
Chikkalasandra,3,1270,2,3,55.25
Madiwala,3,800,2,2,80
Kengeri Satellite Town,4,4100,3,0,300
Mathikere,6,1800,3,2,105
Pattanagere,2,850,2,0,35
Kanakpura Road,1,712,1,1,38.44
Rajaji Nagar,4,2563,5,0,251.5
Basaveshwara Nagar Yelahanka,3,900,4,2,180
TC Palaya,2,900,2,0,55
Hebbal,2,1200,2,1,49
Kengeri Satellite Town,1,654,1,1,22
Peenya,2,708,1,1,55
Singapura Village,4,600,5,3,75
Wilson Garden,3,1680,3,3,135
Jakkasandra Extension,2,990,2,2,58
Uttarahalli,2,1380,2,1,42
Hebbal,2,1088,2,2,62
Harlur,3,1414,3,2,77.5
Seshadripuram,2,1240,2,1,100
Ganesha Block,3,1810,3,3,118
4th Block Jayanagar,3,2005,3,2,240
Kothanur,2,1185,2,2,58
Whitefield,3,1200,3,2,57.15
Electronic City,2,1070,2,1,52
Shikaripalya,2,1265,2,1,58
Sahakara Nagar,2,1100,2,1,55
Friends Colony,2,1035,2,2,44
Sonnenahalli,1,605,1,0,30.715
2nd Block Jayanagar,2,1000,2,1,97
Hegde Nagar,2,1179,2,2,49.35
Vittasandra,3,1650,3,1,84
Malur Hosur Road,6,2800,4,3,100
Lakshmipura Vidyaanyapura,8,3500,6,2,120
Nagaraja Garden,3,1430,3,1,78.65
Marathahalli,3,1130,2,2,58
JP Nagar,3,1850,2,3,110
Hennur,3,1340,3,2,54.24
Sarjapur  Road,4,4260,2,2,338
Nagawara Junction,2,600,2,0,30
Banashankari,3,2582,5,2,250
Channasandra,2,1160,2,1,55
Hegganahalli,1,1200,2,1,45
Rajanna Layout,2,1116,2,1,37.6
Nagarbhavi  BDA Complex,3,600,2,1,85
Sarakki Nagar,3,2663,4,1,338
Devasthanagalu,2,1090,2,2,45
JP Nagar,2,1100,2,1,45
Kammasandra,3,1365,2,1,34.13
Vijayanagar,3,1484,3,2,79.19
Green Glen Layout,3,1630,3,2,68
Whitefield,3,1451,2,2,52.43
Kanakpura Road,2,1330,2,1,107
Thanisandra,3,2127,3,2,135
Adityanagar,5,875,5,3,120
Hallehalli,4,1260,4,2,65
Sarjapur  Road,3,1173,2,2,45.75
Electronics City Phase 1,3,1445,2,1,56
Jayamahal Extension,4,2250,4,1,400
Bannerghatta Road,3,1500,4,2,239
Thanisandra,3,1349,3,2,115.89
JP Nagar,2,1197,2,1,47.88
2nd Stage Nagarbhavi,4,1200,4,1,225
Sarjapur  Road,5,3930,7,2,329
Kanakpura Road,3,1450,3,3,62.4
Whitefield,2,1187,2,1,37.85
Wilson Garden,6,4000,6,3,850
Channasandra,2,1050,2,2,41
Panathur,3,1370,2,2,54.8
Yelahanka,2,1036,2,2,39.37
JP Nagar,3,1275,3,2,41.2
Old Madras Road,4,2010,3,2,115
Thigalarapalya,2,1418,2,2,106
Thanisandra,2,1265,2,2,46.6
Anandapura,3,1576,3,2,58
Dodda Nekkundi,2,1148,2,1,56
Green View Layout,2,1000,2,1,36
Kudlu,3,1293,2,2,85
TC Palaya,3,1200,2,0,66
Munnekollal,2,1210,2,3,75
HSR Layout,2,1126,2,1,69
Sarakki Nagar,3,1840,4,1,175
Vidyaranyapura,3,1440,2,0,70
Ramamurthy Nagar,3,1300,2,2,52
Thanisandra,2,1276,2,2,75
Gidada Konnenahalli,6,600,4,2,105
Whitefield,2,1216,2,1,83
Marenahalli,1,840,1,0,75
Sector 1 HSR Layout,5,1240,5,3,300
Sompura,2,1126,2,2,39
Mysore Road,1,45,1,0,23
Raja Rajeshwari Nagar,2,1162,2,0,65
Whitefield,2,1301,2,2,65
Devanahalli,1,658,1,1,34
Sahakara Nagar,3,1350,3,1,250
Whitefield,3,2500,3,2,280
1st Phase JP Nagar,1,78.03,1,1,63
Chandapura,3,1208.51,3,2,42
Raja Rajeshwari Nagar,2,1133,2,2,38.41
Shettigere,3,1760,2,1,116
Bisuvanahalli,3,1075,2,1,52
Sarjapur,2,940,2,1,25.38
Badavala Nagar,2,1145,2,2,57
Bannerghatta Road,2,1255,2,0,67.73
Rahat Bagh,4,3900,5,1,550
Omarbagh Layout,4,3300,5,0,268.5
Dasarahalli,2,1300,2,2,50
Malleshwaram,3,2475,4,3,326
6th Phase JP Nagar,3,2040,3,3,200
Hosakerehalli,1,1200,1,0,150
Jigani,4,2420,4,1,190
Thubarahalli,2,1216,2,1,80
Tumkur Road,3,1459,2,1,110
Jakkur,3,1622,2,0,80
Kanakpura Road,3,1843,3,2,85
Badavala Nagar,2,1274,2,1,81
Chikkasandra,2,600,1,1,52
Malleshpalya,3,1430,2,1,69.5
Kammanahalli,4,1800,2,0,280
Begur Road,3,1565,2,2,57.91
 Devarabeesana Halli,3,1670,3,2,160
Lakshminarayana Pura,3,1695,3,2,150
Akshayanagara West,2,1410,2,2,75
Kengeri Satellite Town,2,1060,2,3,42
Sarjapur  Road,2,1120,2,2,50
Hosa Road,2,880,2,0,50
Jalahalli,2,1083,2,1,32.49
Dodda Nekkundi,3,1435,3,3,57.2
Doddakallasandra,3,1425,2,2,56.99
Arekere,2,900,2,3,50
Escorts Colony,5,2400,5,2,93
Thanisandra,1,693,1,1,34.3
Kengeri,3,600,3,1,90
Electronic City,4,2435,4,3,119
Iblur Village,3,1920,3,2,150
Electronic City,1,630,1,1,47
Bisuvanahalli,3,1075,2,1,50
Hulimavu,5,1200,5,0,101
Nagavarapalya,1,705,1,1,55
Srinivasa Nagar,3,1200,2,2,75.6
Mahadevpura,2,1532,2,2,62
Rajiv Nagar,2,1330,2,1,93
3rd Block Hrbr Layout,4,1200,3,1,210
Sarjapur  Road,3,1530,2,2,60
Kasavanhalli,2,1105,2,2,42
1st Phase JP Nagar,2,1566,2,0,180
Harlur,3,1630,3,1,95.1
5th Phase JP Nagar,2,1256,2,1,62.8
Banashankari,6,1200,6,2,180
Brookefield,3,1595,2,3,75
7th Phase JP Nagar,2,1000,2,2,53
Poorna Pragna Layout,3,1475,2,2,58.99
"asha township, off hennur road",5,2400,5,3,285
Electronic City Phase II,2,1000,2,1,28.88
1A Block Koramangala,4,2360,4,1,650
Uttarahalli,3,1737,2,3,95
Electronic City Phase II,2,1000,2,1,28.88
Near International Airport,4,2100,4,2,150
Hosakerehalli,8,3600,6,1,145
Mysore Road,2,883,2,1,50
Haralur Road,2,1243,2,2,46
BTM Layout,3,1776,2,3,75
Anjanapura,3,1347,2,1,37.72
Whitefield,3,1330,2,2,55
Sector 1 HSR Layout,2,600,2,1,120
Rajaji Nagar,4,3730,4,3,370
Harlur,3,1459,3,2,135
Thanisandra,4,2259,5,2,135
JP Nagar,7,2700,4,1,160
Gubbalala,2,1008,2,2,32.25
NTI Layout,2,1200,2,2,52.5
Vasanth nagar,4,2328,4,1,528
BTM 1st Stage,7,600,7,3,110
Electronic City,2,660,1,1,15.5
Rajaji Nagar,3,1800,2,2,250
Rajaji Nagar,4,3100,4,3,550
Yelahanka,2,1180,2,0,50.58
Yelahanka,1,602,1,1,26
Marathahalli,3,1710,3,2,100
JP Nagar,3,1500,2,3,82
Glass Factory Layout,3,1539,3,2,60
Fraser town,6,806,3,1,128
Judicial Layout,3,1100,2,1,53
Raja Rajeshwari Nagar,2,1151,2,1,49
Dasappa Layout,2,920,2,1,46
Kathriguppe,3,1350,3,3,78.3
Bannerghatta Road,2,1200,2,2,65
Thanisandra,2,1265,2,1,78
Chelekare,8,600,6,2,60
Sarjapur  Road,3,1700,3,2,93.5
Ramamurthy Nagar,3,1600,3,0,75
4th T block Jayanagar,4,1550,4,1,120
R.T. Nagar,3,1560,3,3,125
Horamavu Agara,6,1000,5,3,98
Haralur Road,2,1243,2,2,46
Raja Rajeshwari Nagar,4,1200,4,1,160
Sarjapur  Road,3,1403,3,1,56
Doddakallasandra,2,1010,2,1,40.39
Tumkur Road,3,1416,3,1,94
Kanakpura Road,2,1628,2,2,68
Chamrajpet,4,1660.4,4,2,211
7th Phase JP Nagar,3,1680,3,2,125
Doddathoguru,3,1595,3,3,62
Kanakpura Road,3,1507,2,3,95
Frazer Town,3,2560,3,2,288
Hennur Road,3,1949,3,1,133
BTM 2nd Stage,2,800,2,1,175
Electronic City Phase II,2,1000,2,1,28.88
Sonam Layout,2,905,2,1,50
Hosakerehalli,3,2480,3,2,245
CR Layout,3,1495,3,3,200
Kaikondrahalli,3,1605,3,3,105
Bommanahalli,2,1290,2,1,73
Yelahanka,2,1100,2,1,60
Vishveshwarya Layout,6,2100,6,0,92
Electronics City Phase 1,2,995,2,1,49.8
Banashankari Stage II,2,500,2,1,55
Rajaji Nagar,4,3526,4,3,598
Gottigere,3,1425,2,2,47
BTM 4th Stage,3,1455,2,2,55
Jalahalli West,1,550,1,1,23
Uttarahalli,3,1385,2,2,48.48
Vishveshwarya Layout,4,7000,4,2,210
Srinivasa Nagar,5,4000,3,0,130
Gollahalli,2,1060,2,1,53
AGS Layout,3,1080,2,2,75
HBR Layout,3,1783,3,2,125
Haralur Road,3,1520,2,2,90
Sarjapur  Road,2,1060,2,1,55
Raja Rajeshwari Nagar,2,1267,2,1,54.35
Whitefield,2,1155,2,2,55
Karuna Nagar,3,2500,3,2,180
Bannerghatta Road,2,1240,2,1,65
Gollahalli,3,1570,3,2,78
NGR Layout,2,1019,2,1,45.9
Whitefield,2,1355,3,3,76
Arekempanahalli,3,1537,3,2,110
Whitefield,4,4075,5,3,226
Raja Rajeshwari Nagar,3,1550,3,3,52.45
Raja Rajeshwari Nagar,2,1100,2,1,50
 Devarabeesana Halli,3,1750,3,2,150
9th Phase JP Nagar,2,1466,2,2,71
Rachenahalli,3,1550,3,2,72.5
Akshaya Nagar,3,2300,4,3,102
Kengeri,1,540,1,1,22.5
8th Phase JP Nagar,3,950,3,2,130
Chamundi Nagar,7,2800,7,1,250
Silk Board,2,1020,2,3,48
Cunningham Road,3,2880,3,2,501
Hebbal,3,1987,4,2,165
Hoodi,2,1305,2,1,75
Sarjapur,4,2100,3,1,125
Electronic City,2,1125,2,1,32.5
Horamavu Banaswadi,2,1225,2,2,49.5
Hennur,2,1255,2,1,55.5
MRCR Layout,2,1191,2,1,90
Uttarahalli,6,3600,6,2,303
Electronic City,2,1165,2,1,33.64
Kacharakanahalli,2,865,2,1,35.11
Nagarbhavi,3,1850,2,2,88
Marsur,2,497,1,1,17
Hennur Road,2,1232,2,2,89
Thanisandra,3,1732,3,3,85.73
Yelahanka,3,1614,2,1,100
Magadi Road,2,600,1,1,22
Thigalarapalya,3,2072,4,2,155
Electronic City,2,919,2,2,34
Shettihalli,4,2100,4,1,90
Shampura,4,672,3,1,54
J C Nagar,8,800,6,3,110
Marsur,3,1200,3,1,150
OLd Gurappanapalya,4,2849,5,3,250
Doctors Layout,2,1000,2,2,42
Whitefield,2,1216,2,1,75
Lingadheeranahalli,4,2245,4,2,154
Bannerghatta Road,3,1476,3,1,125
Ambedkar Nagar,3,1852,3,2,130
Udaya Nagar,2,1225,2,2,47
Panathur,3,1597,3,1,67.12
Jakkur,3,2423,4,3,160
Marathahalli,2,1152,2,1,90
Harlur,3,1762,3,2,133
Kammasandra,3,1400,3,2,92
Rachenahalli,3,1530,2,2,74.4
New Thippasandra,6,2400,6,3,400
Raja Rajeshwari Nagar,2,1185,2,2,40.17
Yelahanka,3,1890,3,2,108
Varthur Road,3,1247,2,2,58
1st Block Jayanagar,8,700,4,2,104
HRBR Layout,6,1000,6,3,275
Bellandur,2,1201,2,2,59.99
Gunjur Palya,2,830,2,2,40
Electronic City Phase II,2,1165,2,1,30.29
Bommanahalli,2,1100,1,2,55
9th Phase JP Nagar,3,1890,2,2,93
Maithri Layout,3,1685,3,2,60
Sarakki Nagar,4,3131,4,3,349
Battarahalli,2,1165,2,1,43
Kachanayakanahalli,2,827,2,1,45
Gangondanahalli,3,396,2,0,48
Uttarahalli,4,1200,4,3,179
Electronics City Phase 1,1,635,1,0,26
Whitefield,4,4000,4,3,380
Vishwanatha Nagenahalli,2,1050,2,1,50
D Group Employees Layout,5,600,4,3,76
Jakkur,3,1819.18,3,2,168
Kanakapura,3,1500,3,3,125
Yelenahalli,3,1500,2,2,57
Benson Town,3,2850,4,3,470
Raja Rajeshwari Nagar,3,1751,3,3,72
Vasanth nagar,4,4750,6,1,1102
Bommasandra,2,1020,2,1,40.89
Thanisandra,2,1148,2,1,43.5
Talaghattapura,3,1856,3,2,135
Basavangudi,6,1754,6,2,650
2nd Block Hrbr Layout,3,4273,3,2,1100
B Narayanapura,2,1060,2,1,49.27
Haralur Road,2,1300,2,2,60
Hormavu,4,3000,4,0,100
Bellandur,2,1325,2,2,65
Sai Gardens,2,1261,2,2,61
Manayata Tech Park,2,1100,2,2,46
Ramamurthy Nagar,2,700,2,1,33
7th Phase JP Nagar,3,1675,2,2,135
Ullal Road,4,3400,4,2,190
Kodihalli,4,3260,5,3,388
Doddakammanahalli,2,1180,2,2,56
Uttarahalli,2,1160,2,2,45
Kasavanhalli,4,1863,3,2,105
Sahakara Nagar,3,1914,3,2,149
BTM Layout,3,1458,3,2,79
Thirumenahalli,5,1200,4,2,115
Babusapalaya,2,1105,2,1,40
Hulimavu,3,3035,5,3,220
Bannerghatta Road,6,1200,6,3,160
Akshaya Nagar,3,1662,3,3,90
Yelahanka,3,1556,3,2,86
Jigani,2,918,2,2,50
Sarjapur  Road,3,1455,2,1,98
Jakkasandra Extension,2,1205,2,1,70
BEML Layout,2,1194,2,1,65
Laggere,2,1200,2,0,75
Bannerghatta Road,3,1100,2,2,52
Sarjapur  Road,3,1405,3,2,48.87
Subramanyapura,2,929,2,1,56
Frazer Town,4,3436,5,2,341
7th Phase JP Nagar,2,1035,2,1,39.33
8th Phase JP Nagar,4,2100,4,3,92
Channasandra,2,1065,2,1,40.47
Bannerghatta Road,3,1365,3,0,84.29
Kengeri,6,1500,6,3,150
Hullahalli,5,1200,5,2,99
Hormavu,2,1093,2,1,32.78
Anandapura,2,1250,2,2,45
Marathahalli,3,1680,3,3,105
Nagarbhavi,2,1146,2,1,50
Jagajyothi layout,2,1250,2,3,58
Ramagondanahalli,3,1451,3,1,60.44
Nobo Nagar,3,1424,2,3,55
Gottigere,3,1435,2,3,62
Devanahalli,1,658,1,0,26.91
Bommanahalli,3,1300,3,2,45
Whitefield,2,1242,2,2,65
Marathahalli,3,1910,3,3,119
Yelahanka,3,1610,4,2,85
Hulimavu,2,1127,2,1,65
Yelahanka,3,1075,2,1,42
Mysore Road,2,1155,2,1,51
Lakkasandra Extension,5,1280,3,1,250
Krishna Reddy Layout,3,1250,3,1,55
Kuvempu Layout,3,2200,4,2,160
Billekahalli,3,2400,3,1,150
Chandapura,2,876,2,2,29.5
Nagarbhavi,3,1850,2,2,89
Kadugodi,2,1314,2,3,83
Rachenahalli,1,690,1,1,39.8
Electronic City Phase II,4,3500,2,2,167.5
Srirampura,2,1230,2,3,55
Bommasandra,2,920,2,1,37.2
Sarjapur  Road,3,1850,3,3,140
Electronic City,2,1073,2,2,60
Maithri Layout,3,1540,3,3,76
Kanakpura Road,3,1550,3,3,63.5
Kalyan nagar,2,1198,2,1,65
HBR Layout,3,1656,3,2,90
Kaveri Nagar,3,1900,3,3,155
Ramagondanahalli,3,1910,3,2,142
Mysore Road,2,1003,2,1,43
Chickpet,2,1221,2,0,48
Whitefield,3,1495,2,3,67
Thanisandra,3,2172,3,2,76.02
Sarakki Nagar,4,2400,4,2,358
T G extension,2,1200,1,2,95
Whitefield,3,1548,3,1,65
2nd Block Koramangala,7,5400,5,2,972
Whitefield,4,2830,5,0,154.5
Hosur Road,3,1689,3,1,103
Electronic City Phase II,2,1031,2,1,53
Bhoganhalli,4,2119,4,2,111
Whitefield,2,1200,2,2,46.13
JCR Layout,2,1060,2,2,37
Devi Nagar,2,1100,2,1,61
GKW Layout,4,1350,4,2,225
Gandhi Nagar,5,1050,4,1,80
Hennur Road,3,1250,2,1,77.88
8th Block Jayanagar,2,1100,2,2,110
Whitefield,2,1200,2,1,46.13
Seegehalli,3,1420,2,2,46
Electronic City,3,1500,2,1,78
OLd Gurappanapalya,3,1942,3,1,155
Haralur Road,3,1985,3,2,130
Sarjapur  Road,1,950,1,0,39.9
AMS Layout,3,1200,4,2,80
Green Glen Layout,3,1752,3,2,105
Abbigere,4,1200,3,2,120
Mahalakshmi Layout,5,1200,5,1,200
Old Madras Road,3,1480,2,2,84
Jnana Ganga Nagar,3,600,4,1,81
Sarjapur  Road,3,1826,3,2,130
8th Phase JP Nagar,2,1035,2,1,39.33
Sarjapur  Road,4,2600,4,3,98
Kasavanhalli,3,1667,3,2,92
Thanisandra,2,934,2,2,55
JP Nagar,3,84.53,3,1,69.34
Mahadevpura,3,1620,2,1,76
Electronic City,2,1070,2,1,47
Hosur Road,5,3600,5,3,180
Uttarahalli,3,1280,2,2,60
rr nagar,2,1400,2,2,60
Vishveshwarya Layout,7,1200,8,2,180
"Varthur Road, ",2,1330,2,1,64
Balagere,2,1012,2,1,54.59
Electronic City Phase II,3,1611,2,2,48.33
Whitefield,3,1405,3,2,58
VGP Layout,3,1515,3,3,90
Thigalarapalya,3,1830,4,2,150
Kaggadasapura,3,1710,3,0,60
BTM Layout,2,935,2,1,51.5
Jakkur,3,2197,3,2,136
TC Palaya,4,600,4,0,65
Yeshwanthpur,3,1678,3,3,92.13
Brookefield,3,1410,2,0,80
Jakkur,2,1125,2,2,65
Magadi Road,3,1191,2,1,55.38
Thubarahalli,2,1200,2,2,79
CV Raman Nagar,3,1525,2,3,67
KUDLU MAIN ROAD,3,1464,3,3,56
Seegehalli,2,920,2,1,27
Yelahanka,1,651,1,1,17.5
Chikkabanavar,2,600,1,2,25
Chandapura,1,645,1,1,16.45
Thanisandra,2,1185,2,2,44
Electronics City Phase 1,2,1190,2,1,68
Harohalli,2,2091,2,0,200
Whitefield,4,2830,5,0,158.5
Whitefield,2,1355,2,3,73
KR Puram,2,1200,1,0,65
Kundalahalli,4,7000,4,3,550
Ramamurthy Nagar,6,1200,4,1,110
Yelahanka New Town,1,500,2,1,24
Bommasandra Industrial Area,3,1250,3,3,50
Uttarahalli,3,1480,2,1,58
Ambalipura,4,3300,4,2,329
KR Puram,3,1482,2,2,70.445
Green Woods Layout,2,1206,2,1,53
Rajaji Nagar,2,1357,2,1,130
Hosakerehalli,2,925,2,1,46.5
8th Phase JP Nagar,2,909,2,1,40.9
Seegehalli,3,3000,5,2,335
Brookefield,2,1100,2,1,55
Malleshwaram,4,3000,5,2,815
Vidyaranyapura,2,1100,2,1,54
Subramanyapura,2,975,2,1,65
Raja Rajeshwari Nagar,2,1306,2,2,44.17
Roopena Agrahara,4,1200,4,1,95
Kalena Agrahara,1,610,1,1,39
Yelahanka,3,1484,2,2,56.4
Ramamurthy Nagar,2,1125,2,1,47
Bhoganhalli,2,1447,2,1,75.97
Whitefield,4,2882,5,1,158
Vidyaranyapura,4,750,4,0,88
Kundalahalli,3,2075,3,1,115
Stage-4 Bommanahalli,2,1250,2,1,58
Horamavu Banaswadi,2,1272,2,2,51.5
Banashankari Stage II,4,1050,3,2,125
Venkateshpuram,2,625,2,1,24
1st Phase JP Nagar,1,840,2,2,50
Hennur Road,4,2502,4,2,180
Rayasandra,1,583,1,1,26.9
Gunjur Palya,2,900,2,1,27
Sarjapur  Road,2,1115,2,2,50
HOSUR MAIN ROAD,2,1464,2,2,56
Kanakapura,3,2200,3,1,121
Whitefield,1,750,1,1,51
Marathahalli,3,1600,3,3,58
Chikkalasandra,3,1365,2,2,49
"Judicial Layout, Kanakapura Road, ",3,1300,3,2,64
Kurubarahalli,1,1200,1,0,69
Hormavu,2,1260,2,2,35
Electronics City Phase 1,2,1190,2,2,33.92
Hosakerehalli,3,2480,4,1,260
Vishwapriya Layout,3,1250,3,2,38
Kaggadasapura,3,1500,3,0,75
Banashankari Stage V,3,1510,3,3,47.57
7th Phase JP Nagar,2,1187,2,1,59
Kundalahalli,2,1120,2,1,53.76
Whitefield,2,981,2,0,34.555
Dodsworth Layout,3,1717,3,3,99
Mullur,3,2099,3,2,95
Kasturi Nagar,2,1100,2,2,58
Hegganahalli,1,1200,1,0,48
Bannerghatta Road,3,1465,2,1,45.87
Kothanur,1,1500,1,0,75
Prashanth Nagar,5,4050,4,1,600
Haralur Road,3,1255,2,1,90
5th Phase JP Nagar,2,1220,2,3,88
Electronic City Phase II,2,1065,2,1,30.88
Sultan Palaya,3,1765,3,3,80
Bellandur,2,1281,2,2,87
Electronic City,2,1210,2,2,25
Kaggadasapura,2,1215,2,3,43
Ananth Nagar,4,1200,3,1,87
Mysore Road,2,1237,2,2,73
Lakshminarayana Pura,2,1300,2,1,70
Whitefield,2,1105,2,2,39.99
Chandapura,3,1505,2,2,42
Hebbal Kempapura,4,3900,5,3,310
Banashankari,2,1186,2,3,65
Byrathi Village,4,900,3,1,51
Kengeri,2,750,2,1,35.5
Varthur,2,1083,2,2,28
Nagaraja Garden,3,1430,2,1,78.65
Thanisandra,2,1056,2,2,68
VGP Layout,3,2108,3,3,85
Banashankari,3,1650,3,2,101
Electronic City Phase II,3,1220,3,1,36.6
Rayasandra,2,1198,2,1,54
Ejipura,2,1190,2,1,70
"Judicial Layout, Kanakapura Road, ",2,900,2,1,41
J.P.nagar 6th Phase.Sarakki Nagar,4,2690,4,2,185
Kanakapura,2,1340,2,2,65
Bommenahalli,4,2940,3,2,2250
Giri Nagar,6,2400,6,1,400
Whitefield,6,2324,3,3,26.73
Yelahanka,2,1260,2,2,59.2
Talaghattapura,3,2254,3,2,153
Old Madras Road,3,2990,5,1,210
1st Block BEL Layout,4,1800,5,1,250
JP Nagar,2,820,2,1,45
Electronic City,2,1296,2,2,65
Uttarahalli,2,1190,2,1,53.55
Whitefield,2,1173,2,1,77
Sarjapura - Attibele Road,3,1800,3,2,90
Yelahanka,2,1102,2,0,52
Sarjapur,2,913,2,1,36
Hormavu,3,1176,2,1,35.27
Prithvi Layout,3,1620,3,2,65
Billekahalli,3,2968,3,2,225
Yelahanka,2,1519,2,3,65
Hosur Road,2,1345,2,2,106
Dodsworth Layout,3,1594,3,2,99
Kaverappa Layout,2,1250,2,1,68
Haralur Road,2,1056,2,1,60
Whitefield,3,1200,3,1,68.4
Kothnur Narayanapura,2,1290,1,0,77.5
Amruthnagar,2,1150,2,1,48
Ambedkar Colony,2,1464,2,1,145
Anekal,4,1200,2,1,36
Gollarapalya Hosahalli,2,861,2,0,36.5
Kundalahalli,2,1047,2,1,82.62
Lakshmipura,2,1200,2,0,75
Kirloskar Layout,10,1200,10,3,190
Hongasandra,2,1065,2,1,45
Rajaji Nagar,3,2300,3,3,369
Ramamurthy Nagar,2,1000,2,1,62
Lingadheeranahalli,3,1682,3,1,113
Harlur,3,1756,3,2,131
BEL Road,5,4000,4,2,1000
Vignana Nagar,4,1050,4,2,90
